Frames,Average Velocity,Standard deviation of velocity 
1,0.45913823,0.765160286
2,0.715759763,1.008750347
3,1.003594006,1.404405963
4,1.151951057,1.529714058
5,1.245884422,1.626821745
6,1.162406461,1.51778688
7,1.091344789,1.429800466
8,0.96642907,1.395603048
9,0.894656586,1.22552548
10,0.836223449,1.203573005
11,0.765769099,0.97378683
12,0.745885642,0.913997019
13,0.741204717,0.862723854
14,0.716114465,0.798355293
15,0.710414792,0.786538503
16,0.761869379,0.871035139
17,0.82293875,0.992702779
18,0.852764948,1.066082734
19,0.888592707,1.124620263
20,0.822782624,1.221492148
21,0.800953004,1.222440359
22,0.74757967,1.161267425
23,0.798372798,1.120702581
24,0.789748843,1.090580988
25,0.802640246,1.072369388
26,0.801316514,1.075987656
27,0.75616047,1.030528326
28,0.802677738,1.01055626
29,0.780080726,1.035552208
30,0.806207294,1.021878468
31,0.767422818,1.047309043
32,0.8943579,1.03817434
33,0.956018176,1.131414702
34,1.025964112,1.196458318
35,1.039514476,1.188804839
36,1.004120873,1.147274629
37,0.987886328,1.112242425
38,0.978332745,1.131912598
39,1.020572065,1.165446505
40,1.02796395,1.17475211
41,0.976553785,1.115154954
42,0.859992938,1.073052155
43,0.840505927,0.994485164
44,0.828447987,0.966146255
45,0.77512484,0.951402915
46,0.73304889,0.924979684
47,0.706133481,0.898373236
48,0.707728793,0.908840076
49,0.688221104,0.872234522
50,0.683227428,0.81817358
51,0.683558922,0.821324239
52,0.73193933,0.853067439
53,0.730018986,0.834702849
54,0.822337703,0.985675584
55,0.913275183,1.143099848
56,0.872733101,1.143693105
57,0.806059501,1.129770841
58,0.673132228,0.95576804
59,0.692711761,0.80665523
60,0.558744302,0.75727093
61,0.546935919,0.747501072
62,0.622925906,0.77746156
63,0.603959875,0.854556365
64,0.661071688,0.937556376
65,0.68639526,0.99761524
66,0.709789,1.024846029
67,0.692092896,1.044747473
68,0.777535396,1.046576185
69,0.788779917,1.057778078
70,0.792965833,0.953133314
71,0.696099042,0.827081679
72,0.616917612,0.764685558
73,0.592509143,0.6785109
74,0.643333898,0.722775243
75,0.58973932,0.843078466
76,0.692349251,1.013680161
77,0.80013198,1.106472643
78,0.870411765,1.264781835
79,0.926849373,1.374234095
80,0.940263157,1.436098016
81,0.92719842,1.457048041
82,0.909252056,1.419311217
83,0.86844586,1.376025646
84,0.89709896,1.327452533
85,0.886032306,1.279274592
86,0.840399531,1.182512043
87,0.774033735,1.109824212
88,0.714999547,1.08925246
89,0.778186306,1.116658832
90,0.868932286,1.144026736
91,0.888693184,1.221444012
92,0.91979502,1.192166815
93,0.862957206,1.158188962
94,0.819850143,1.121955856
95,0.744732755,1.130807403
96,0.850603769,1.151744893
97,0.859661971,1.225632567
98,0.869867914,1.306856849
99,0.892488269,1.334970614
100,0.869295824,1.403258108
101,0.877262765,1.460787153
102,0.971083984,1.509126854
103,1.046856839,1.584690753
104,1.084923592,1.523135964
105,1.140386796,1.667593146
106,1.104655314,1.61748767
107,1.116695688,1.631143548
108,1.05247684,1.567609637
109,1.004049958,1.458404276
110,0.98823248,1.356746204
111,0.92138368,1.280527385
112,0.91471236,1.215605622
113,0.9385322,1.153759717
114,0.909110102,1.149824283
115,0.907359018,1.237580893
116,0.91941798,1.316011471
117,0.972723612,1.399114478
118,1.032205653,1.45827061
119,1.006146551,1.526870159
120,0.999550694,1.566203145
121,0.980398837,1.614081086
122,0.932009918,1.577357136
123,0.953175831,1.486945914
124,0.932048061,1.413615232
125,0.848408,1.419407438
126,0.91737028,1.464301698
127,0.864879076,1.471960445
128,0.88562,1.470641278
129,0.8036962,1.406652836
130,0.812800896,1.374875583
131,0.815650386,1.390874919
132,0.83222034,1.445763351
133,0.90476772,1.515634543
134,0.96916828,1.573916959
135,1.052415442,1.618551304
136,1.08311612,1.704153497
137,1.107945531,1.839580621
138,1.074838347,1.87408055
139,1.007570184,1.671561422
140,0.879336086,1.432657468
141,0.81182719,1.338595049
142,0.757113731,1.365902285
143,0.765302327,1.420893642
144,0.798536771,1.498371897
145,0.822734659,1.50212279
146,0.902685469,1.538374362
147,0.870954327,1.466717125
148,0.902798657,1.485234921
149,0.848432792,1.399932787
150,0.75860931,1.349783086
151,0.678930004,1.285828557
152,0.622725694,1.263148649
153,0.662215696,1.188404919
154,0.673322598,1.137853424
155,0.77465045,1.158132578
156,0.875852438,1.26648991
157,0.981406854,1.404166479
158,0.987886896,1.446917968
159,0.954199708,1.516512572
160,0.912063563,1.470716275
161,0.937427542,1.453413969
162,0.851602063,1.403813836
163,0.811908646,1.321631295
164,0.842310229,1.281576554
165,0.935875229,1.311099195
166,0.919347435,1.31677286
167,0.893606326,1.231716971
168,0.770867633,1.152956991
169,0.683414149,1.165485019
170,0.894437106,1.305385637
171,1.018789383,1.547382283
172,1.146340983,1.908241896
173,1.240084809,2.235560672
174,1.268247591,2.358071009
175,1.162598213,2.273236059
176,1.078303596,2.012981572
177,1.033590128,1.720080938
178,0.913547662,1.551606692
179,0.836796723,1.525363778
180,0.877559447,1.540453747
181,0.961728753,1.552997362
182,1.046372128,1.540497789
183,1.106178617,1.539841966
184,1.105163787,1.578799901
185,1.104362511,1.59844034
186,1.008815596,1.600372802
187,1.013179106,1.562211501
188,1.037124489,1.558661133
189,1.095067809,1.596728188
190,1.08607647,1.666277748
191,1.087960255,1.735295118
192,1.222160938,1.77035819
193,1.269819638,1.826420941
194,1.321122681,1.834928833
195,1.24386275,1.826429083
196,1.249752333,1.769074869
197,1.244085625,1.726858301
198,1.225469854,1.670654826
199,1.152526021,1.544987586
200,1.092693563,1.38098554
201,1.059617104,1.378848439
202,1.156398969,1.544669671
203,1.203040917,1.687432538
204,1.170830104,1.717132944
205,1.123958688,1.624692312
206,1.062188688,1.522244398
207,1.084426938,1.484060783
208,1.139604813,1.515679631
209,1.082967375,1.558038026
210,1.153705766,1.615863968
211,1.20020807,1.679191475
212,1.190818266,1.677766964
213,1.23718866,1.6658417
214,1.16788183,1.621699193
215,1.156526,1.586830748
216,1.022026362,1.526361044
217,1.01223834,1.427358848
218,0.955376532,1.381814741
219,0.875186848,1.160492249
220,0.854471848,1.097371675
221,0.889370543,1.233730059
222,0.964515239,1.298927153
223,1.037573913,1.394368115
224,1.011611783,1.475803974
225,0.929364426,1.484969003
226,0.899919426,1.353152361
227,0.855402021,1.22972882
228,0.856017936,1.143170614
229,0.855239553,1.223362742
230,0.959935851,1.277194029
231,0.951454085,1.270984187
232,0.868395553,1.276556514
233,0.886143638,1.224853312
234,0.854832283,1.207703264
235,0.825217383,1.161717801
236,0.76546634,1.103496259
237,0.750134511,1.083713121
238,0.804712404,1.117968734
239,0.817756426,1.191938182
240,0.828113617,1.226662845
241,0.880385166,1.265298742
242,0.850937688,1.313607112
243,0.901823188,1.374403248
244,0.968807396,1.456336381
245,1.041142851,1.51459184
246,1.066869064,1.491994828
247,1.049674021,1.467657664
248,0.971933128,1.533622904
249,1.03932966,1.619370493
250,1.065826021,1.711977891
251,1.148155596,1.76283774
252,1.036620664,1.750347263
253,0.945702234,1.609894215
254,0.905590702,1.371263832
255,0.798960064,1.170063491
256,0.76100966,1.085947069
257,0.743625426,1.040373296
258,0.784626435,1.047920861
259,0.753068239,1.00039238
260,0.736904326,0.971212434
261,0.702458638,0.925011233
262,0.693364174,0.802228272
263,0.609246739,0.731063392
264,0.579696454,0.724816927
265,0.5462285,0.798056648
266,0.767526913,0.90801802
267,0.671452021,0.94478073
268,0.711757085,0.893998282
269,0.651227574,0.836013864
270,0.738782298,0.907166196
271,0.962689872,1.129637926
272,1.143405587,1.398289169
273,1.267944851,1.684008834
274,1.269218936,1.934477667
275,1.312880577,2.063358428
276,1.288906213,1.981634142
277,1.303589234,1.741237815
278,1.232055617,1.477409529
279,1.157708681,1.331165373
280,1.07443734,1.344490433
281,1.024715532,1.392456074
282,1.084090957,1.475108266
283,1.063712319,1.553534833
284,1.083658745,1.627104707
285,1.167684766,1.680724186
286,1.202350851,1.716739632
287,1.158065993,1.653046496
288,1.103080933,1.685666071
289,1.148622867,1.699545651
290,1.0460385,1.753714877
291,1.08696463,1.690426632
292,1.11747437,1.577737817
293,1.13021237,1.509942688
294,1.174555261,1.524576208
295,1.122730109,1.549274179
296,1.168004391,1.457549217
297,1.032280756,1.362004491
298,0.976217591,1.217836749
299,0.861132702,1.08620294
300,0.813818091,1.017947199
301,0.857211227,1.035906458
302,0.908149477,1.03465281
303,0.96911083,1.078799786
304,0.947809705,1.148531682
305,0.882877733,1.23857435
306,0.939707782,1.265914754
307,0.903314078,1.274895272
308,0.862172471,1.265739687
309,0.840172729,1.370096724
310,0.840769984,1.397440491
311,0.848950822,1.416495866
312,0.713517432,1.226288542
313,0.633591933,1.255647392
314,0.762475587,1.230119654
315,0.900163178,1.214426517
316,0.916569842,1.301960898
317,0.946712256,1.414100096
318,0.823505869,1.418797438
319,0.746973709,1.327168625
320,0.884608647,1.201802844
321,0.847816745,1.09017218
322,0.880232683,1.099117796
323,0.868446047,1.134094354
324,0.882804472,1.16155807
325,0.902781404,1.106251157
326,0.788176681,1.043938028
327,0.781044787,0.98643789
328,0.719670851,0.979430932
329,0.773680234,0.968424601
330,0.764884319,0.938611876
331,0.702596745,0.878429615
332,0.769255404,1.014530604
333,0.81932166,1.207162129
334,0.925003426,1.327664315
335,0.988717043,1.470482386
336,1.090878085,1.555066298
337,1.064376436,1.57202476
338,1.034431915,1.491389968
339,1.055497134,1.397703935
340,0.954560625,1.195221806
341,0.876895542,1.076971904
342,0.759367667,0.894460214
343,0.73963089,0.938203827
344,0.751156958,1.054177176
345,0.735151271,1.119015535
346,0.81997483,1.287121398
347,0.825141298,1.32419771
348,0.829744979,1.264116531
349,0.7747773,1.263798107
350,0.758231596,1.304347488
351,0.7604765,1.394541183
352,0.745355283,1.477507456
353,0.760631875,1.541708064
354,0.805068375,1.566765246
355,0.827161354,1.509810288
356,0.734727002,1.339893071
357,0.690479688,1.204340272
358,0.672495063,1.084650211
359,0.671231489,1.014316743
360,0.701082085,0.992251277
361,0.763430213,0.976256268
362,0.74762966,1.025468669
363,0.711246583,1.109755112
364,0.791074708,1.136035707
365,0.773944823,1.158735911
366,0.788623542,1.13339545
367,0.814611063,1.147289097
368,0.810182292,1.146481956
369,0.846467521,1.098858166
370,0.790000125,0.990838651
371,0.715329085,0.965246754
372,0.708619511,0.958945275
373,0.731651167,1.080811724
374,0.804686813,1.160254372
375,0.806569208,1.229279083
376,0.857480673,1.243435555
377,0.877178857,1.214761715
378,0.910411612,1.20379924
379,0.909404163,1.194958991
380,0.897468306,1.192681741
381,0.876429102,1.173629354
382,0.850060245,1.16955681
383,0.865850208,1.146603061
384,0.855725321,1.195753662
385,0.878314083,1.297242586
386,0.879638043,1.425505231
387,0.929860149,1.518333238
388,0.918999875,1.53623593
389,0.943968417,1.412005904
390,0.782853918,1.267268019
391,0.761908755,1.068115456
392,0.754773121,1.0180672
393,0.709564357,1.02214554
394,0.86488787,1.103081029
395,0.904174698,1.277990663
396,0.906374222,1.41144634
397,0.935281778,1.497584325
398,0.974531356,1.495658983
399,0.935188356,1.490001329
400,0.892119511,1.489810521
401,0.872243962,1.445545946
402,0.838424787,1.339055395
403,0.782548778,1.226490139
404,0.785504496,1.153403463
405,0.791757844,1.158100013
406,0.838219822,1.259382797
407,0.900377896,1.394511611
408,1.06502113,1.492565208
409,1.065000283,1.572258524
410,0.986434315,1.621006855
411,1.00254487,1.598436466
412,1.045418043,1.538267353
413,1.029564872,1.520777995
414,1.056474298,1.526220868
415,1.079356383,1.534130897
416,1.017525813,1.537687306
417,0.961859043,1.508355192
418,0.963079447,1.434226423
419,0.870358196,1.374688821
420,0.836548522,1.278415926
421,0.771446911,1.205277173
422,0.745366978,1.175992994
423,0.744926218,1.161683358
424,0.722132087,1.096186464
425,0.673334244,0.974178857
426,0.586919739,0.878455375
427,0.591310283,0.784335717
428,0.58374466,0.767185823
429,0.606997553,0.698964569
430,0.560718155,0.707891121
431,0.606137064,0.860552416
432,0.644661646,1.046141743
433,0.721257875,1.107417261
434,0.752408708,1.127782205
435,0.774807468,1.171590664
436,0.747466574,1.260601012
437,0.799924362,1.346436279
438,0.811446553,1.457981969
439,0.842401685,1.576357918
440,0.974839521,1.649899961
441,1.000276483,1.693794602
442,0.957982521,1.652799384
443,0.908716208,1.486257902
444,0.835084125,1.239486651
445,0.753454646,1.087039041
446,0.79176655,1.172416688
447,0.889408104,1.428925771
448,0.947407714,1.660496411
449,1.09849242,1.709231657
450,1.0848587,1.675770616
451,1.00792004,1.560512679
452,0.982938939,1.391703349
453,0.954302117,1.290900114
454,0.953180802,1.316600035
455,0.950571292,1.397785413
456,0.954195304,1.397795873
457,0.950667522,1.377170176
458,0.91541077,1.371539766
459,0.962509717,1.372897014
460,0.947946935,1.442554752
461,0.955184783,1.520460747
462,0.908436761,1.560160472
463,0.944339674,1.56675006
464,1.021922687,1.656774429
465,1.085596522,1.82043819
466,1.076293783,1.869635816
467,1.00227613,1.667068376
468,0.910746587,1.347288617
469,0.872768957,1.205036159
470,0.871824244,1.26035298
471,0.874390761,1.317008001
472,0.894076748,1.277651276
473,0.893596007,1.292222492
474,0.875172739,1.368395819
475,0.878039935,1.404828906
476,0.839210852,1.379399309
477,0.824776902,1.320324899
478,0.784446283,1.268062496
479,0.759139522,1.261159661
480,0.750671022,1.30359284
481,0.816763624,1.349374794
482,0.861935161,1.372382378
483,0.8809564,1.361077839
484,0.861071104,1.344477528
485,0.931136804,1.332242374
486,0.984924478,1.452660095
487,1.077031761,1.80586645
488,1.17453287,2.363923662
489,1.263234239,2.863598252
490,1.297470174,2.982180078
491,1.28261315,2.616433535
492,1.190368783,2.132299726
493,1.188059674,1.973783998
494,1.250598413,1.988619206
495,1.194354196,1.841297053
496,1.071551224,1.545312463
497,0.909605064,1.371360443
498,0.951450085,1.318934735
499,0.94934534,1.39780936
500,0.943601766,1.461118775
501,0.920706783,1.474278351
502,0.888828319,1.404851679
503,0.765742,1.261452072
504,0.685880011,1.096715321
505,0.606468066,1.07927569
506,0.702471543,1.157290291
507,0.800642228,1.287057009
508,0.906413828,1.418757864
509,0.974846564,1.495916157
510,0.988978309,1.449475556
511,0.955693213,1.26016305
512,0.832813162,1.020253837
513,0.705296766,0.839849306
